ID,Parameter_ID,Name,Description,Spreadsheet_Value
productive-p,productive,productive,,p
productive-n,productive,nonproductive,,n
productive-unknown,productive,unclear,,?
base-Adj,base,adjective,,Adj
base-n,base,noun,,N
base-v,base,verb,,V
base-n-adj,base,noun/adjective,,N/Adj
base-v-n-adj,base,verb/noun/adjective,,V/N/Adj
dedicated-appl,dedicated,applicative,,appl
dedicated-caus,dedicated,causative,,caus
dedicated-consider,dedicated,consider,,consider
dedicated-ded,dedicated,dedicated,,ded
dedicated-denom,dedicated,denominal,,denom
dedicated-desid,dedicated,desiderative,,desid
dedicated-see,dedicated,see,,see
dedicated-think,dedicated,think,,think
dedicated-hear-see-know-follow,dedicated,"hear, see, know, follow",,"hear, see, know, follow"
dedicated-unknown,dedicated,unclear,,?
type-dir,type,direct,,dir
type-ind,type,indirect,,ind
